iter	Logloss
0	0.6359617259
1	0.5928772296
2	0.5613913432
3	0.5356149134
4	0.5121781544
5	0.4959432158
6	0.4839341605
7	0.474413203
8	0.4668538922
9	0.4606597224
10	0.4536660453
11	0.4474638508
12	0.4444849675
13	0.4417666352
14	0.4362043929
15	0.4305267276
16	0.4294102864
17	0.4265382957
18	0.4257310384
19	0.4209762968
20	0.4205394881
21	0.4201876033
22	0.4199039814
23	0.4183316489
24	0.4171578155
25	0.4170204033
26	0.414840887
27	0.4147623486
28	0.4144635284
29	0.4143507298
30	0.4120916442
31	0.4112684896
32	0.4098521471
33	0.4098386986
34	0.4071134321
35	0.407085551
36	0.4065668597
37	0.406564006
38	0.4064728851
39	0.4059428203
40	0.4057386777
41	0.4023460009
42	0.4022050079
43	0.4009457832
44	0.3979240091
45	0.3976001628
46	0.3974504538
47	0.3966460873
48	0.3966453661
49	0.3966301905
50	0.3948719847
51	0.3948707438
52	0.3933941722
53	0.3917893529
54	0.390116306
55	0.3847125123
56	0.3834453865
57	0.376868814
58	0.3746637231
59	0.373074113
60	0.3729951618
61	0.3712492702
62	0.3709796611
63	0.3703946345
64	0.3694310106
65	0.368901888
66	0.3672542839
67	0.3620244694
68	0.3619206864
69	0.361470376
70	0.35954891
71	0.3535526471
72	0.3528590598
73	0.3523243225
74	0.3520453039
75	0.345357085
76	0.3448974585
77	0.3427064206
78	0.3416782382
79	0.3383779567
80	0.3356025772
81	0.3301662162
82	0.3261997207
83	0.3230385703
84	0.3163635192
85	0.3104667852
86	0.3022007035
87	0.2979007613
88	0.2933881891
89	0.2923441487
90	0.2860060199
91	0.2857275699
92	0.2794727253
93	0.276557929
94	0.2750634805
95	0.2658157067
96	0.2591541687
97	0.2533996622
98	0.2532700553
99	0.2452881934
100	0.2411405882
101	0.2349229879
102	0.2325474867
103	0.22298484
104	0.22003972
105	0.2151079869
106	0.210475185
107	0.2051822195
108	0.2027382159
109	0.1979279296
110	0.19670403
111	0.1927724673
112	0.1882584506
113	0.1861611379
114	0.1844592426
115	0.1827242759
116	0.1782818407
117	0.176902664
118	0.1740339587
119	0.170346417
120	0.1693945904
121	0.1648126022
122	0.1634388455
123	0.160119886
124	0.1576520952
125	0.1573357894
126	0.1545739822
127	0.1508809128
128	0.1455868171
129	0.1425303404
130	0.140559865
131	0.1389716918
132	0.1353177977
133	0.1318391282
134	0.1303052514
135	0.1275500713
136	0.1234402662
137	0.1203233091
138	0.118697131
139	0.1161757237
140	0.1150805787
141	0.1125673776
142	0.1117844822
143	0.1103826276
144	0.1086795335
145	0.1073078042
146	0.106438063
147	0.1046392415
148	0.1043042866
149	0.1022780094
150	0.1002343801
151	0.09926477762
152	0.0981684274
153	0.09656832582
154	0.09578379806
155	0.09520002605
156	0.09478876454
157	0.09467853059
158	0.09400570111
159	0.09133323128
